Transaction_ID,Timestamp,Amount,Sender_ID,Receiver_ID,Transaction_Type,Merchant_Type,Device_ID,Location,Is_Fraud,Fraud_Type,Fraud_Probability,Status
UPI_1756145640_310,2025-08-25T23:44:00.297751,1143,user8039@upi,Merchant_265@upi,UPI,Online_Retail,Device_3625,"23.0127, 72.5792",False,-,0.060950320031911275,COMPLETED
UPI_1756156486_853,2025-08-26T02:44:46.297751,576,user1142@upi,Merchant_553@upi,UPI,Food,Device_2718,"23.0245, 72.5743",False,-,0.0888073445454623,COMPLETED
UPI_1756162192_77,2025-08-26T04:19:52.297751,2359,user8251@upi,Merchant_821@upi,UPI,Travel,Device_8931,"23.0297, 72.5704",False,-,0.14687412555415236,COMPLETED
UPI_1756168365_881,2025-08-26T06:02:45.297751,14796,user5677@upi,Merchant_471@upi,UPI,Travel,Device_6233,"19.0690, 72.8837",False,-,0.2635552098054932,COMPLETED
Card_1756173847_605,2025-08-26T07:34:07.297751,15369,255112******3553,Merchant_616@card,Card,Travel,Device_9386,"22.5772, 88.3634",False,-,0.10754556481560776,COMPLETED
Netbanking_1756215750_244,2025-08-26T19:12:30.297751,6632,ACC_79034,Merchant_494@netbanking,Netbanking,Food,Device_5262,"13.0903, 80.2702",False,-,0.27763740356569316,COMPLETED
UPI_1756217364_131,2025-08-26T19:39:24.297751,3453,user8046@upi,Merchant_635@upi,UPI,Food,Device_8183,"22.5685, 88.3631",False,-,0.1871029019967765,COMPLETED
UPI_1756229857_643,2025-08-26T23:07:37.297751,18828,user9954@upi,Merchant_680@upi,UPI,Travel,Device_1104,"17.3862, 78.4814",False,-,0.19526029418568858,COMPLETED
UPI_1756240668_374,2025-08-27T02:07:48.297751,1418,user8071@upi,Merchant_218@upi,UPI,Travel,Device_2129,"23.0272, 72.5748",False,-,0.20864261760996794,COMPLETED
UPI_1756253232_625,2025-08-27T05:37:12.297751,61540,user8969@upi,Merchant_677@upi,UPI,Travel,Device_2120,"28.6214, 77.1991",False,-,0.0969494049024432,COMPLETED
UPI_1756257364_303,2025-08-27T06:46:04.297751,4975,user7455@upi,Merchant_927@upi,UPI,Entertainment,Device_8083,"19.0721, 72.8868",False,-,0.1223058959320743,COMPLETED
UPI_1756259934_265,2025-08-27T07:28:54.297751,3707,user8500@upi,Merchant_376@upi,UPI,Entertainment,Device_6931,"19.0712, 72.8696",False,-,0.23344847279788825,COMPLETED
UPI_1756261560_713,2025-08-27T07:56:00.297751,1045,user4595@upi,Merchant_651@upi,UPI,Utilities,Device_9567,"17.3811, 78.4779",False,-,0.0373055598457084,COMPLETED
UPI_1756269716_356,2025-08-27T10:11:56.297751,14518,user2759@upi,Merchant_394@upi,UPI,Utilities,Device_9552,"22.5629, 88.3641",False,-,0.1286942904735633,COMPLETED
